Date,kurs
11/22/2020,14157.4367
11/23/2020,14178.0737
11/24/2020,14134.8105
11/25/2020,14135.4418
11/26/2020,14090.1751
11/27/2020,14074.0089
11/28/2020,14074.009
11/29/2020,14074.5021
11/30/2020,14108.6624
12/1/2020,14121.1261
12/2/2020,14087.3818
12/3/2020,14110.0868
12/4/2020,14147.345
12/5/2020,14146.8294
12/6/2020,14086.9177
12/7/2020,14099.2586
12/8/2020,14103.1107
12/9/2020,14096.1725
12/10/2020,14100.7471
12/11/2020,14156.4563
12/12/2020,14155.9163
12/13/2020,14055.8779
12/14/2020,14085.2392
12/15/2020,14121.3376
12/16/2020,14091.2715
12/17/2020,14109.7749
12/18/2020,14127.7545
12/19/2020,14096.9615
12/20/2020,14147.2628
12/21/2020,14126.0544
12/22/2020,14133.6319
12/23/2020,14185.8329
12/24/2020,14189.5741
12/25/2020,14104.0386
12/26/2020,14103.6313
12/27/2020,14190.5352
12/28/2020,14130.4758
12/29/2020,14109.9203
12/30/2020,14018.6152
12/31/2020,13956.2848
